video_id,publishing_date,view_count,title_on_youtube
tKyaGnPni3U,2020-12-07T20:26:25Z,13340,20. X-ray Emission and Absorption (Intro to Solid-State Chemistry)
AqCz_b7VJK8,2020-12-07T20:26:52Z,40766,21. X-ray Diffraction Techniques I (Intro to Solid-State Chemistry)
S1kqa_qGmHs,2020-12-07T20:27:05Z,16699,22. X-ray Diffraction Techniques II (Intro to Solid-State Chemistry)
YROT1JTNLWs,2020-12-07T20:26:05Z,9133,23. Point and Line Defects I (Intro to Solid-State Chemistry)
7_IoLAXtQ3k,2020-12-07T20:48:52Z,6238,24. Point and Line Defects II (Intro to Solid-State Chemistry)
AbyrF4VtlYY,2020-12-07T20:26:25Z,8155,25. Introduction to Glassy Solids (Intro to Solid-State Chemistry)
KPJvO_00LKQ,2020-12-07T20:48:52Z,12361,26. Engineering Glass Properties (Intro to Solid-State Chemistry)
GhwBpZx3LjI,2020-12-07T20:26:25Z,6072,27. Reaction Rates (Intro to Solid-State Chemistry)
9SvAZgd0J_A,2020-12-07T20:27:05Z,5365,28. Introduction to Aqueous Solutions (Intro to Solid-State Chemistry)
ZSv_gYLBi8E,2020-12-07T20:26:05Z,4782,29. Acids and Bases I (Intro to Solid-State Chemistry)
xrf39mMxPZg,2020-12-07T20:26:04Z,3281,30. Acids and Bases II (Intro to Solid-State Chemistry)
1rgmGwAqMYc,2020-12-07T20:26:25Z,1798,31. Exam Review (Intro to Solid-State Chemistry)
LMSTMBX_2F4,2020-12-07T20:53:26Z,34973,32. Polymers I (Intro to Solid-State Chemistry)
uOEXP2WEo3M,2020-12-07T20:49:13Z,22948,Additional Lecture 2. The Chemistry of Batteries (Intro to Solid-State Chemistry 2019)
cMIRECEsKHM,2020-12-07T20:26:51Z,13399,33. Polymers II (Intro to Solid-State Chemistry)
iPzRbK3wApI,2020-12-07T20:26:05Z,25873,34. Introduction to Organic Chemistry (Intro to Solid-State Chemistry)
j4m0Ye5Qgcg,2020-12-07T20:26:05Z,18166,35. Diffusion I (Intro to Solid-State Chemistry)
UF94OiDYgBY,2020-12-07T20:27:05Z,6447,36. Diffusion II (Intro to Solid-State Chemistry)
tynCH4dosA8,2009-03-02T20:59:48Z,42759,Lec 1 | MIT 3.320 Atomistic Computer Modeling of Materials
kHdqdTe7G44,2008-04-29T19:43:45Z,16484,Lec 2 | MIT 3.320 Atomistic Computer Modeling of Materials
HcQ7bdBGbEs,2008-04-29T20:40:12Z,8506,Lec 3 | MIT 3.320 Atomistic Computer Modeling of Materials
3HXG1kxmYVs,2008-04-29T20:13:02Z,9267,Lec 5 | MIT 3.320 Atomistic Computer Modeling of Materials
U5SKba2lCuw,2008-04-29T19:55:53Z,9609,Lec 6 | MIT 3.320 Atomistic Computer Modeling of Materials
-B96m5X2xCM,2008-04-29T19:57:13Z,11751,Lec 7 | MIT 3.320 Atomistic Computer Modeling of Materials
egK3Cih11J4,2008-04-29T19:52:54Z,5864,Lec 8 | MIT 3.320 Atomistic Computer Modeling of Materials
WAc7fQ1qzAc,2008-04-29T19:46:18Z,4173,Lec 9 | MIT 3.320 Atomistic Computer Modeling of Materials
zyId5iqW6Ig,2008-04-29T19:52:48Z,3712,Lec 11 | MIT 3.320 Atomistic Computer Modeling of Materials
gQ1YPzcHZqo,2008-04-29T20:09:29Z,7636,Lec 13 | MIT 3.320 Atomistic Computer Modeling of Materials
_CTZDDFaE5A,2008-04-29T20:00:34Z,3754,Lec 14 | MIT 3.320 Atomistic Computer Modeling of Materials
LInWiab7q6Q,2008-04-29T19:48:19Z,3639,Lec 15 | MIT 3.320 Atomistic Computer Modeling of Materials
3FumIu7Qito,2008-04-29T19:43:32Z,5646,Lec 17 | MIT 3.320 Atomistic Computer Modeling of Materials
ZsqPyPe7B5w,2008-04-29T19:49:18Z,3829,Lec 18 | MIT 3.320 Atomistic Computer Modeling of Materials
TqHS4tpujnw,2008-04-29T20:01:40Z,2563,Lec 19 | MIT 3.320 Atomistic Computer Modeling of Materials
K8qD73y8jag,2008-04-29T19:48:04Z,2496,Lec 20 | MIT 3.320 Atomistic Computer Modeling of Materials
yYAHcATzuno,2008-04-29T19:46:00Z,3801,Lec 22 | MIT 3.320 Atomistic Computer Modeling of Materials
SbtqjZk80Qc,2008-04-29T19:42:41Z,4223,Lec 23 | MIT 3.320 Atomistic Computer Modeling of Materials
qOTTNo9iXJc,2008-04-29T19:38:33Z,2448,Lec 25 | MIT 3.320 Atomistic Computer Modeling of Materials
vT_6DlaHcWQ,2008-12-12T20:31:18Z,157398,"MIT 3.60 | Lec 1a: Symmetry, Structure, Tensor Properties of"
aWdqvyhzzIY,2008-04-30T15:35:53Z,41670,"MIT 3.60 | Lec 1b: Symmetry, Structure, Tensor Properties of Materials"
e-DMqNXtT9Q,2008-04-30T15:18:49Z,25337,"MIT 3.60 | Lec 2a: Symmetry, Structure, Tensor Properties of Materials"
pi1IagGYJ3E,2008-04-30T15:37:02Z,16138,"MIT 3.60 | Lec 2b: Symmetry, Structure, Tensor Properties of Materials"
APv1uyLL6ok,2008-04-30T15:16:00Z,15617,"MIT 3.60 | Lec 3a: Symmetry, Structure, Tensor Properties of Materials"
kYgBLGwuBpw,2008-04-30T15:16:02Z,10639,"MIT 3.60 | Lec 3b: Symmetry, Structure, Tensor Properties of Materials"
cUzZ-qu3xws,2008-04-30T15:18:54Z,9653,"MIT 3.60 | Lec 4a: Symmetry, Structure, Tensor Properties of Materials"
2dms7bxzoXk,2008-04-30T16:04:25Z,7746,"MIT 3.60 | Lec 4b: Symmetry, Structure, Tensor Properties of Materials"
THTQT2aykaA,2008-04-30T15:23:26Z,6941,"MIT 3.60 | Lec 5a: Symmetry, Structure, Tensor Properties of Materials"
pEOSGrQkn44,2008-04-30T15:33:16Z,7441,"MIT 3.60 | Lec 5b: Symmetry, Structure, Tensor Properties of Materials"
-HJE0OYHTH4,2008-04-30T15:41:50Z,7827,"MIT 3.60 | Lec 6a: Symmetry, Structure, Tensor Properties of Materials"
xRWGiK2SMrw,2008-04-30T15:16:02Z,4638,"MIT 3.60 | Lec 6b: Symmetry, Structure, Tensor Properties of Materials"
XYKEtZiierI,2008-04-30T15:29:23Z,5195,"MIT 3.60 | Lec 7a: Symmetry, Structure, Tensor Properties of Materials"
2SYV_b3OelQ,2008-04-30T15:22:41Z,4825,"MIT 3.60 | Lec 7b: Symmetry, Structure, Tensor Properties of Materials"
DKDcpkK3pM8,2008-04-30T15:20:09Z,4674,"MIT 3.60 | Lec 8a: Symmetry, Structure, Tensor Properties of Materials"
KJheruCbwHU,2008-04-30T15:16:48Z,4653,"MIT 3.60 | Lec 8b: Symmetry, Structure, Tensor Properties of Materials"
9JXMg32f09w,2011-09-16T14:53:52Z,14009,"MIT 3.60 | Lec 10a: Symmetry, Structure, Tensor Properties of Materials"
w1qapsDFz2g,2008-04-30T15:20:17Z,5017,"MIT 3.60 | Lec 10b: Symmetry, Structure, Tensor Properties of Materials"
B4xIxr3fB7c,2008-04-30T15:17:09Z,5272,"MIT 3.60 | Lec 11a: Symmetry, Structure, Tensor Properties of Materials"
1v17Gfdydfg,2008-04-30T15:36:37Z,7118,"MIT 3.60 | Lec 11b: Symmetry, Structure, Tensor Properties of Materials"
7rm5sVtj-hs,2008-04-30T15:17:29Z,3347,"MIT 3.60 | Lec 12a: Symmetry, Structure, Tensor Properties of Materials"
Z7ftUJAx-1E,2008-04-30T15:14:31Z,794,"Lec 12b: Symmetry, Structure, Tensor Properties of Materials"
eDCS197EzU8,2008-04-30T15:33:14Z,7062,"MIT 3.60 | Lec 13a: Symmetry, Structure, Tensor Properties of Materials"
IPTyKqZpbCM,2008-04-30T15:18:42Z,2605,"MIT 3.60 | Lec 13b: Symmetry, Structure, Tensor Properties of Materials"
JKUrC05a-4k,2008-04-30T15:17:28Z,2842,"MIT 3.60 | Lec 14a: Symmetry, Structure, Tensor Properties of Materials"
8gOVW9fKOcY,2008-04-30T15:53:10Z,3353,"MIT 3.60 | Lec 14b: Symmetry, Structure, Tensor Properties of Materials"
dGd519SL114,2008-04-30T15:13:49Z,4821,"MIT 3.60 | Lec 15a: Symmetry, Structure, Tensor Properties of Materials"
Vyf-lQjk0rY,2008-04-30T15:12:26Z,4000,"MIT 3.60 | Lec 15b: Symmetry, Structure, Tensor Properties of Materials"
lPgglz6xeZU,2008-04-30T15:28:52Z,5573,"MIT 3.60 | Lec 16a: Symmetry, Structure, Tensor Properties of Materials"
4CBKF4LT8l8,2008-04-30T15:09:49Z,4721,"MIT 3.60 | Lec 16b: Symmetry, Structure, Tensor Properties of Materials"
I0vEDYqXLeg,2008-04-30T15:18:53Z,2884,"MIT 3.60 | Lec 18a: Symmetry, Structure, Tensor Properties of Materials"
Bd4Q4Dl4brc,2008-04-30T15:32:38Z,2410,"MIT 3.60 | Lec 18b: Symmetry, Structure, Tensor Properties of Materials"
hVqoXS5PyzY,2008-04-30T15:28:10Z,3537,"MIT 3.60 | Lec 20a: Symmetry, Structure, Tensor Properties of Materials"
4v94PCyrQqo,2008-04-30T15:32:22Z,2086,"MIT 3.60 | Lec 20b: Symmetry, Structure, Tensor Properties of Materials"
JyIsB5D3ZCg,2008-04-30T15:23:32Z,11944,"MIT 3.60 | Lec 21a: Symmetry, Structure, Tensor Properties of Materials"
QyJkYF-L1Kg,2008-04-30T15:09:01Z,10665,"MIT 3.60 | Lec 21b: Symmetry, Structure, Tensor Properties of Materials"
ew9ujMlyOTU,2008-04-30T15:36:10Z,2864,"MIT 3.60 | Lec 22a: Symmetry, Structure, Tensor Properties of Materials"
RoxLGn5VN4g,2008-04-30T15:14:27Z,457,"Lec 22b: Symmetry, Structure, Tensor Properties of Materials"
O8q7AqZxtXQ,2008-04-30T15:32:46Z,4397,"MIT 3.60 | Lec 23a: Symmetry, Structure, Tensor Properties of Materials"
