course_id,video_number,video_id,mit_video_title,title_on_youtube,publishing_date,view_count,expected_views
20,1.0,k2_wuThLG6o,LEC 1: INTRODUCTION,1. Introduction to Theory of City Form,2014-03-06 20:16:02+00:00,45267,45267
17,1.0,tynCH4dosA8,LECTURE 1: INTRODUCTION AND CASE STUDIES,Lec 1 | MIT 3.320 Atomistic Computer Modeling of Materials,2009-03-02 20:59:48+00:00,42759,42759
122,1.0,-7dYXCHtTFY,LECTURE 1: THIS COURSE AND THE U.S. ENERGY SYSTEM,1. This Course and The U.S. Energy System,2013-03-29 15:06:17+00:00,41672,41672
101,1.0,g1ka1MXpo3s,"LEC 1: INTRODUCTION, THE VISUAL SYSTEM","1. Introduction, the visual system",2014-10-28 15:11:11+00:00,40128,40128
2,1.0,K_6tRupDxF4,LECTURE 1: COURSE INFORMATION; BEGIN KINEMATICS,1. Course information; Begin kinematics,2014-03-25 15:12:27+00:00,39729,39729
186,1.0,H17P1Fk308I,SESSION 1,Lec 1 | MIT 24.213 Philosophy of Film,2008-03-07 23:14:14+00:00,36832,36832
13,1.0,hOZ6-geaRUo,LECTURE 1: INTRODUCTION AND OVERVIEW,"1. Introduction and Overview (MIT 3.054 Cellular Solids: Structure, Properties, Applications, S15)",2016-10-14 17:16:52+00:00,35782,35782
182,1.0,GZ2gWYzCYeI,LECTURE 1: CORE - NONCONVENTIONAL (NON-PWR/BWR) REACTORS,Lecture 1: Core - Nonconventional (Non-PWR/BWR) Reactors,2012-07-24 19:05:18+00:00,34673,34673
1,1.0,wzB8Rhm3xCU,LECTURE 1: INTRODUCTION,"1. Introduction (for 1.258J Public Transportation Systems, Spring 2017)",2019-05-11 04:56:59+00:00,34224,34224
30,1.0,l1hMkDTg2lg,LECTURE 1: INTRODUCTORY LECTURE TO 5.310,1. Introductory Lecture to 5.310,2021-05-18 16:15:02+00:00,33574,33574
104,1.0,txKXRtlrFfI,SESSION 5: EIGENVALUES AND EIGENVECTORS,5. Eigenvalues and Eigenvectors,2017-08-17 18:53:44+00:00,31823,31823
113,1.0,QfuVAKCO61M,LECTURE 1: INTRODUCTION TO REFLECTIVE PRACTICE,1. Introduction to Reflective Practice,2012-06-05 21:31:57+00:00,24878,24878
105,1.0,2t5e-6vvg48,"LECTURE 1: ALEX MACLEAN, MARCH 6, 2006",Lec 1 | MIT 11.309J Sensing Place: Photography as Inquiry,2008-05-28 16:41:41+00:00,24197,24197
208,1.0,2Y__Z_PgAxQ,INTRODUCTION VIDEO: COURSE OVERVIEW,Course overview of physics of COVID-19 transmission,2021-04-08 14:30:55+00:00,21412,21412
183,1.0,v_NcOpoHBsk,LECTURE 1: INTRODUCTION AND OVERVIEW,"Lec 1 | MIT 22.091 Nuclear Reactor Safety, Spring 2008",2011-03-04 18:08:02+00:00,21117,21117
9,1.0,izS-pGXFnrc,DAY 1: INTRODUCTORY LECTURE,"Day 1 Part 1 | MIT 2.993 The Art and Science of Boat Design, IAP 2007",2011-11-08 18:04:38+00:00,18558,18558
171,1.0,tEpU7QiRiUk,SESSION 1,Lec 1 | MIT 21H.931 Seminar in Historical Methods,2008-02-26 20:32:45+00:00,17975,17975
33,1.0,Uic47mwXNuQ,LECTURE 13: NONLINEAR POLARIZATION,"Lec 13 | MIT 5.74 Introductory Quantum Mechanics II, Spring 2009",2010-09-27 20:51:45+00:00,15755,15755
191,1.0,mAhtll45Yz8,"1. DO ""PIDGINS"" EXIST? DO CREOLE LANGUAGES COME FROM PIDGINS?","1. Do ""Pidgins"" exist?  Do Creole languages come from Pidgins?",2018-12-07 20:16:04+00:00,15052,15052
35,1.0,WxqdIRbQp0c,COURSE INTRODUCTION,"MIT 5.80, Spring 2008 Faculty Introduction",2010-08-12 20:37:23+00:00,9330,9330
188,1.0,CxhgdRCiPvg,SESSION 1,"Session 1 | MIT 24.262 Feeling and Imagination in Art, Science, and Technology, Spring 2004",2008-04-29 15:33:58+00:00,7387,7387
189,1.0,P7tCdhvhIKU,SESSION 1,"Session 1 | MIT 24.264 Film as Visual and Literary Mythmaking, Fall 2005",2011-09-19 18:23:02+00:00,7267,7267
111,1.0,fvJBjtQiV6Q,"WEEK 1: THE CITY AS A SOCIAL, LEGAL, AND POLITICAL CONCEPT",Lec 1 | MIT 11.949 11.949 City Visions: Past and Future,2008-05-19 16:23:40+00:00,6370,6370
174,1.0,ySZtBGAaqbM,LECTURE 1: DARWIN AND DESIGN,"Lec 22 | MIT 21L.448J Darwin and Design, Fall 2010",2012-07-19 21:03:52+00:00,1318,1318
1,2.0,JPCA2qE9MSw,LECTURE 2: DATA COLLECTION TECHNIQUES AND PROGRAM DESIGN,2. Data Collection Techniques and Program Design,2019-05-11 04:58:28+00:00,11810,10567.337749227
1,3.0,MlDdfgjpBe0,LECTURE 3: MODAL CHARACTERISTICS AND ROLES,3. Modal Characteristics and Roles,2019-05-11 04:58:46+00:00,2452,11213.065291547822
1,4.0,h5x7-zejY8c,LECTURE 4: SHORT-RANGE PLANNING—PART 1,4. Short-range Planning,2019-05-11 04:59:15+00:00,2348,4060.090642230608
1,5.0,aLqEG43nKVE,LECTURE 5: SHORT-RANGE PLANNING—PART 2,5. Short-range Planning (cont.),2019-05-11 04:59:34+00:00,1124,3432.1034093113885
1,6.0,dttSgzTJKK4,LECTURE 6: MODAL CAPACITIES AND COSTS,6. Modal Capacities and Costs,2019-05-11 04:59:57+00:00,966,2210.5116730143645
1,7.0,YGpxOuDJdJw,LECTURE 7: COST ESTIMATION,7. Cost Estimation,2019-05-11 05:00:27+00:00,8141,1697.656066622317
1,8.0,Wlz_17id1BM,LECTURE 8: RIDERSHIP FORECASTING,8. Ridership Forecasting,2019-05-11 05:00:52+00:00,1831,1193.5125762588143
1,9.0,Tsn0xSQjo14,LECTURE 9: PERFORMANCE MODELS,9. Performance Models,2019-05-11 05:01:30+00:00,1140,3427.507433176115
1,10.0,avWOCswUJyI,"LECTURE 10: ORIGIN, DESTINATION, AND TRANSFER INFERENCE","10. Origin, Destination, and Transfer Inference",2019-05-11 05:01:53+00:00,1677,1628.4178581001918
1,11.0,_FTwuE36SUA,LECTURE 13: VEHICLE SCHEDULING,13. Vehicle Scheduling,2019-05-11 05:02:19+00:00,7877,1800.4751487832257
1,12.0,mp7Nz8CUPBM,LECTURE 17: CUSTOMER INFORMATION STRATEGIES—GUEST LECTURE BY JOHN ATTANUCCI,17. Customer Information Strategies,2019-05-11 05:02:45+00:00,856,1968.6180887682835
